Name,Lat,Lon,Cluster
GP_10733,30.75,100.5,7
GP_10734,30.75,100.75,7
GP_10735,30.75,101.0,7
GP_10736,30.75,101.25,7
GP_10737,30.75,101.5,7
GP_10738,30.75,101.75,7
GP_10739,30.75,102.0,7
GP_1074,51.75,116.0,2
GP_10740,30.75,102.25,7
GP_10741,30.75,102.5,7
GP_10742,30.75,102.75,7
GP_10743,30.75,103.0,7
GP_10744,30.75,103.25,7
GP_10745,30.75,103.5,7
GP_10746,30.75,105.5,7
GP_10747,30.75,106.5,7
GP_10748,30.75,108.25,7
GP_10749,30.75,109.0,7
GP_1075,51.75,117.5,2
GP_10750,30.75,109.25,7
GP_10751,30.75,109.5,7
GP_10752,30.75,109.75,7
GP_10753,30.75,110.0,7
GP_10754,30.75,110.25,7
GP_10755,30.75,110.75,7
GP_10756,30.75,111.0,7
GP_10757,30.75,111.25,7
GP_10758,30.75,111.75,7
GP_10759,30.75,112.0,7
GP_1076,51.25,119.5,2
GP_10760,30.75,112.25,7
GP_10761,30.75,112.5,7
GP_10762,30.75,112.75,7
GP_10763,30.75,113.0,7
GP_10764,30.75,113.25,7
GP_10765,30.5,85.0,5
GP_10766,30.5,85.5,5
GP_10767,30.5,85.75,5
GP_10768,30.5,86.0,5
GP_10769,30.5,86.25,5
GP_1077,50.5,107.5,2
GP_10770,30.5,86.5,5
GP_10771,30.5,86.75,5
GP_10772,30.5,87.0,5
GP_10773,30.5,87.25,5
GP_10774,30.5,87.5,5
GP_10775,30.5,87.75,5
GP_10776,30.5,88.0,5
GP_10777,30.5,88.25,5
GP_10778,30.5,88.5,5
GP_10779,30.5,88.75,5
